Team,Signed,Avg Age,Active,Dead,Total Cap,Cap Space,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS,Win,Loss,Tie
Arizona Cardinals,53,26.81,"$104,474,970 ","$7,526,798 ","$169,351,526 ","$2,475,592 ",$5.3M,$1.2M,$20.9M,$5.5M,$6.4M,$11.8M,$19.5M,$29.5M,$4.4M,8,8,0
Atlanta Falcons,53,26.45,"$147,393,869 ","$8,459,139 ","$166,313,787 ","$1,594,641 ",$27.3M,$6.6M,$27.6M,$3.8M,$19.2M,$30.7M,$4.1M,$21.6M,$6.7M,10,6,0
Baltimore Ravens,53,26.28,"$112,215,774 ","$21,993,528 ","$158,870,983 ","$4,540,933 ",$26.6M,$4.8M,$16.1M,$4.0M,$12.3M,$7.8M,$16.1M,$17.4M,$7.2M,9,7,0
Buffalo Bills,52,26.48,"$104,955,026 ","$28,929,576 ","$155,791,897 ","$11,198,000 ",$10.9M,$13.0M,$2.5M,$11.0M,$21.4M,$21.7M,$7.1M,$13.4M,$4.2M,9,7,0
Carolina Panthers,51,27.18,"$144,363,005 ","$12,130,270 ","$176,672,311 ","$3,259,933 ",$22.7M,$11.7M,$4.5M,$14.8M,$21.7M,$33.9M,$17.0M,$12.4M,$5.6M,11,5,0
Chicago Bears,53,25.81,"$110,629,152 ","$13,239,031 ","$167,722,301 ","$6,689,489 ",$21.2M,$3.0M,$9.3M,$7.3M,$22.5M,$14.4M,$10.6M,$20.7M,$1.6M,5,11,0
Cincinnati Bengals,52,25.31,"$128,091,070 ","$4,148,865 ","$162,915,563 ","$9,969,103 ",$16.4M,$7.2M,$21.2M,$1.9M,$11.5M,$25.9M,$13.1M,$25.8M,$5.0M,7,9,0
Cleveland Browns,53,23.98,"$77,946,523 ","$46,236,097 ","$156,664,052 ","$59,915,427 ",$2.2M,$4.6M,$4.9M,$3.3M,$28.5M,$11.4M,$8.4M,$9.5M,$5.1M,0,16,0
Dallas Cowboys,54,25.26,"$114,468,318 ","$26,658,546 ","$159,808,251 ","$9,111,598 ",$1.1M,$9.2M,$26.0M,$16.2M,$14.8M,$18.8M,$13.6M,$8.0M,$6.8M,9,7,0
Denver Broncos,53,25.42,"$121,736,835 ","$5,457,705 ","$157,628,109 ","$10,189,689 ",$2.9M,$6.2M,$24.4M,$4.4M,$11.2M,$7.4M,$29.1M,$32.8M,$3.4M,5,11,0
Detroit Lions,52,25.79,"$130,190,524 ","$10,914,815 ","$162,305,019 ","$6,088,612 ",$17.0M,$5.2M,$17.9M,$5.5M,$16.6M,$19.8M,$12.0M,$26.9M,$9.2M,9,7,0
Green Bay Packers,53,25.23,"$115,603,840 ","$12,069,022 ","$169,715,403 ","$5,359,373 ",$0.8M,$2.3M,$31.0M,$3.7M,$18.9M,$15.1M,$21.9M,$17.5M,$4.4M,7,9,0
Houston Texans,53,25.81,"$99,775,402 ","$13,806,954 ","$161,052,404 ","$11,356,320 ",$0.6M,$9.8M,$21.7M,$0.6M,$12.7M,$2.7M,$17.2M,$31.0M,$3.4M,4,12,0
Indianapolis Colts,53,25.19,"$90,264,198 ","$27,574,758 ","$157,498,655 ","$17,079,815 ",$2.6M,$4.6M,$15.2M,$8.8M,$16.3M,$16.3M,$15.2M,$8.0M,$3.2M,4,12,0
Jacksonville Jaguars,53,25.32,"$151,852,626 ","$11,295,119 ","$172,516,956 ","$33,350,646 ",$10.1M,$13.9M,$10.0M,$5.4M,$23.8M,$44.1M,$12.8M,$29.3M,$2.5M,10,6,0
Kansas City Chiefs,52,26.02,"$135,438,141 ","$16,051,403 ","$170,799,858 ","($646,265)",$21.2M,$3.8M,$3.6M,$7.0M,$24.2M,$17.7M,$38.7M,$13.2M,$6.0M,10,6,0
